event_count,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_content-pillars,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
77,0,0,0,0,0,2.093818181818182,3.533,1,2,2,0,0,2,5,0,0,0,0,0,51,0,0,9,0,0,17,0,94.62681818181818,0,0,0,0,3,0,1,0,0,0,24,0,4,42,0,2,1,0,0,0
217,0,0,0,0,0,7.916697674418605,20.823,0,22,20,0,0,0,8,0,0,0,0,0,0,0,0,19,0,146,52,0,295.7396976744186,0,0,0,0,0,0,0,0,0,0,108,0,0,105,0,4,0,0,0,0
29,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,52.882,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,10
152,0,0,0,0,0,1.544,2.637,15,23,20,0,0,0,0,0,0,49,0,0,0,0,0,1,6,33,63,0,214.18099999999998,0,0,0,0,48,0,0,0,0,0,94,0,0,0,0,10,0,0,0,0
54,0,0,0,0,0,2.1874285714285713,3.963,2,1,2,2,2,0,0,0,4,5,0,0,2,0,0,2,0,0,41,0,69.15042857142856,0,0,0,0,7,29,1,0,0,0,14,0,0,0,0,3,0,0,0,0
53,0,0,0,0,0,1.46225,2.126,0,3,2,4,4,0,0,0,0,37,0,0,0,0,0,4,0,0,15,0,72.58825,0,0,0,0,0,0,3,0,0,0,17,0,0,33,0,3,0,0,0,0
42,0,0,0,1,0,1.26075,2.272,1,3,2,0,0,0,2,0,0,0,0,0,0,19,0,5,0,0,18,0,54.53275,0,0,0,0,3,0,3,0,0,0,22,0,0,10,0,4,0,0,0,0
24,0,1,0,0,0,2.298,2.298,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,15,5,0,31.596,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0
9,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21.881999999999998,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4
39,0,0,0,0,0,1.5888,2.073,0,3,2,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,9,0,47.6618,0,0,0,0,0,0,0,0,0,0,15,0,0,24,0,0,0,0,0,0
111,0,0,0,0,0,1.5253571428571429,3.732,1,1,1,0,0,0,3,1,0,80,0,0,0,0,1,6,0,0,23,0,122.25735714285715,0,0,0,0,3,0,3,0,0,0,28,0,0,71,0,5,1,0,0,0
7,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17.881999999999998,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
7,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17.881999999999998,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
9,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,3,0,16.881999999999998,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
34,1,0,0,0,0,1.28,1.906,0,1,1,1,1,0,12,0,0,0,0,0,0,0,0,14,11,0,9,0,53.186,1,0,0,0,0,0,0,0,0,0,25,0,0,8,0,0,0,0,0,0
26,0,0,0,0,0,1.7409999999999999,3.141,0,2,2,1,1,0,0,0,0,0,0,0,0,15,0,1,0,0,10,0,36.882,0,0,0,0,0,0,0,0,0,0,17,0,0,9,0,0,0,0,0,0
